3103;austria/regionalliga-mitte;austria-regionalliga-mitte;Regionalliga, Mitte;AUSTRIA: Regionalliga, Mitte;13
3105;austria/regionalliga-ost;austria-regionalliga-ost;Regionalliga, Ost;AUSTRIA: Regionalliga, Ost;13
3104;austria/regionalliga-salzburg;austria-regionalliga-salzburg;Regionalliga, Salzburg;AUSTRIA: Regionalliga, Salzburg;13
3113;austria/frauenliga-women;austria-frauenliga-women;Frauenliga - Women;AUSTRIA: Frauenliga - Women;13
4420;austria/bundesliga-championship-round;austria-bundesliga-championship-round;Bundesliga, Championship Round;AUSTRIA: Bundesliga, Championship Round;13
4281;austria/bundesliga-playoffs;austria-bundesliga-playoffs;Bundesliga, Playoffs;AUSTRIA: Bundesliga, Playoffs;13
4421;austria/bundesliga-relegation-round;austria-bundesliga-relegation-round;Bundesliga, Relegation Round;AUSTRIA: Bundesliga, Relegation Round;13
4625;austria/regionalliga-voralberg;austria-regionalliga-voralberg;Regionalliga, Voralberg;AUSTRIA: Regionalliga, Voralberg;13
1107;azerbaijan/premier-league;azerbaijan-premier-league;Premier League;AZERBAIJAN: Premier League;14
4624;austria/regionalliga-tirol;austria-regionalliga-tirol;Regionalliga, Tirol;AUSTRIA: Regionalliga, Tirol;13
1494;azerbaijan/national-cup;azerbaijan-national-cup;National Cup;AZERBAIJAN: National Cup;14
1098;bahrain/premier-league;bahrain-premier-league;Premier League;BAHRAIN: Premier League;16
3623;azerbaijan/first-division;azerbaijan-first-division;First Division;AZERBAIJAN: First Division;14
4588;bahrain/premier-league-playoffs;bahrain-premier-league-playoffs;Premier League, Playoffs;BAHRAIN: Premier League, Playoffs;16
3252;bahrain/supercup;bahrain-supercup;Supercup;BAHRAIN: Supercup;16
1381;bahrain/national-cup;bahrain-national-cup;National cup;BAHRAIN: National cup;16
3163;bangladesh/premier-league;bangladesh-premier-league;Premier League;BANGLADESH: Premier League;17
1688;belarus/supercup;belarus-supercup;Supercup;BELARUS: Supercup;19
749;belarus/premier-league;belarus-premier-league;Premier League;BELARUS: Premier League;19
773;belarus/national-cup;belarus-national-cup;National Cup;BELARUS: National Cup;19
3159;belarus/1-division;belarus-1-division;1. Division;BELARUS: 1. Division;19
63;belgium/first-division-a;belgium-first-division-a;First Division A;BELGIUM: First Division A;20
3121;belarus/premier-league-women;belarus-premier-league-women;Premier League - Women;BELARUS: Premier League - Women;19
1732;belgium/first-division-b-final-rounds;belgium-first-division-b-final-rounds;First Division B, Final Rounds;BELGIUM: First Division B, Final Rounds;20
813;belgium/supercup;belgium-supercup;Supercup;BELGIUM: Supercup;20
3360;belgium/first-division-b-closing;belgium-first-division-b-closing;First Division B, Closing;BELGIUM: First Division B, Closing;20
163;belgium/national-cup;belgium-national-cup;National cup;BELGIUM: National cup;20
753;belgium/first-division-b-opening;belgium-first-division-b-opening;First Division B, Opening;BELGIUM: First Division B, Opening;20
2241;belgium/first-division-a-championship-round;belgium-first-division-a-championship-round;First Division A, Championship Round;BELGIUM: First Division A, Championship Round;20
2242;belgium/first-division-a-europa-league-playoff;belgium-first-division-a-europa-league-playoff;First Division A, Europa League Playoff;BELGIUM: First Division A, Europa League Playoff;20
3482;belgium/pro-league-reserve-championship-group;belgium-pro-league-reserve-championship-group;Pro League reserve, Championship Group;BELGIUM: Pro League reserve, Championship Group;20
3211;belgium/pro-league-reserve;belgium-pro-league-reserve;Pro League reserve;BELGIUM: Pro League reserve;20
3483;belgium/pro-league-reserve-relegation-group;belgium-pro-league-reserve-relegation-group;Pro League reserve, Relegation Group;BELGIUM: Pro League reserve, Relegation Group;20
3566;belgium/first-division-b-relegation-group;belgium-first-division-b-relegation-group;First Division B, Relegation Group;BELGIUM: First Division B, Relegation Group;20
3361;belgium/first-amateur-division;belgium-first-amateur-division;First Amateur Division;BELGIUM: First Amateur Division;20
3627;belgium/first-amateur-division-promotion-group;belgium-first-amateur-division-promotion-group;First Amateur Division, Promotion Group;BELGIUM: First Amateur Division, Promotion Group;20
4447;belgium/super-league-relegation-round-women;belgium-super-league-relegation-round-women;Super League, Relegation Round - Women;BELGIUM: Super League, Relegation Round - Women;20
4446;belgium/super-league-championship-round-women;belgium-super-league-championship-round-women;Super League, Championship Round - Women;BELGIUM: Super League, Championship Round - Women;20
3628;belgium/super-league-women;belgium-super-league-women;Super League - Women;BELGIUM: Super League - Women;20
4461;belgium/second-amateur-division-vfv-a;belgium-second-amateur-division-vfv-a;Second Amateur Division, VFV A;BELGIUM: Second Amateur Division, VFV A;20
4460;belgium/second-amateur-division-acff;belgium-second-amateur-division-acff;Second Amateur Division, ACFF;BELGIUM: Second Amateur Division, ACFF;20
4462;belgium/second-amateur-division-vfv-b;belgium-second-amateur-division-vfv-b;Second Amateur Division, VFV B;BELGIUM: Second Amateur Division, VFV B;20
1210;bolivia/clausura;bolivia-clausura;Clausura;BOLIVIA: Clausura;25
1320;bolivia/apertura;bolivia-apertura;Apertura;BOLIVIA: Apertura;25
4463;benin/championat-national;benin-championat-national;Championat National;BENIN: Championat National;22
1038;bosnia-and-herzegovina/premier-liga;bosnia-and-herzegovina-premier-liga;Premier Liga;BOSNIA and HERZEGOVINA: Premier Liga;26
4464;bosnia-herzegovina/fbih;bosnia-herzegovina-fbih;FBiH;BOSNIA HERZEGOVINA: FBiH;26
1273;bosnia-and-herzegovina/national-cup;bosnia-and-herzegovina-national-cup;National Cup;BOSNIA and HERZEGOVINA: National Cup;26
